name,license_no,type,address_line_1,city,state,zip,phone,website,total_beds
ADELA'S GARDENS ALF INC,11967529,assisted_living,12732 SW 93RD STREET,MIAMI,FL,33186,(305) 385-0953,,6
"ADULT CARE OF MIAMI, INC",11965959,assisted_living,9833 SW 27 TERRACE,MIAMI,FL,33165,(305) 559-8159,,6
ADULT DAY CARE CENTERS CORP,12962279,assisted_living,19110 SW 177TH AVE UNIT C,MIAMI,FL,33187-2004,(305) 233-2222,Adult Day Care Centers,28
ADULT DAY CARE CENTERS II CORP,12962578,assisted_living,13970 SW 47TH ST,MIAMI,FL,33175-4404,(786) 563-0972,,50
ADULT DAY CARE INC,12962572,assisted_living,26065 S DIXIE HWY,HOMESTEAD,FL,33032-6613,(786) 306-0262,,60
ADULT DAY CENTER OF SOUTH FLORIDA INC,12962313,assisted_living,9855 SW 184TH ST,PALMETTO BAY,FL,33157-6934,(786) 732-4055,,20
ADULT HOPE DAY CARE INC,12962387,assisted_living,12039 SW 132ND CT,MIAMI,FL,33186-4784,(786) 701-2557,,30
ADULT LIFE CARE CENTER INC,12962649,assisted_living,11246 SW 137TH AVE,MIAMI,FL,33186-4201,(786) 631-5999,,50
ADURIS ADULT DAY CARE LLC,12962645,assisted_living,7250 W 24TH AVE,HIALEAH,FL,33016-1700,(786) 652-9880,,14
ADVANCED MEDICAL HEALTH LLC,12962716,assisted_living,8650 CORAL WAY,MIAMI,FL,33155-2338,(305) 539-0599,,80
ADVENTURE ADULT DAY CARE LLC,12962650,assisted_living,10174 W FLAGLER ST,MIAMI,FL,33174,(305) 418-0350,,60
AGAPE NETWORK,32960362,assisted_living,22790 SW 112TH AVENUE,MIAMI,FL,33170,(305) 235-2616,www.theagapenetwork.org,50
AGAPE NETWORK,32960554,assisted_living,22790 SW 112 AVE,MIAMI,FL,33170,(305) 235-2616,,16
AGAPE NETWORK,32960553,assisted_living,22790 SW 112 AVE,MIAMI,FL,33170,(305) 235-2616,,24
"AGING WORLD ALF, LLC",11969305,assisted_living,12201 SW 93RD ST,MIAMI,FL,33186,(786) 717-7081,,6
AGING WORLD OF WESTCHESTER ALF LLC,11969765,assisted_living,4141 SW 99 CT,MIAMI,FL,33165,(786) 558-4747,,6
ALBORADA FAMILY HOME ALF LLC,11953397,assisted_living,5524 SW 5 STREET,MIAMI,FL,33134,(305) 261-4976,,6
ALDARA HOME INC,11964715,assisted_living,12810 SW 18TH ST,MIAMI,FL,33175-1233,(786) 262-1994,,6
"ALEGRIA ADULT DAY CARE CENTER, INC.",12962292,assisted_living,2050 W 56TH ST,HIALEAH,FL,33016-2601,(786) 391-4369,,50
ALEGRIA ADULT DAYCARE INC,12962222,assisted_living,345 W 78TH RD # 355,HIALEAH,FL,33014-4322,(305) 364-1115,,76
ALEGRIA ALF LLC,11969655,assisted_living,1150 SW 103RD CT,MIAMI,FL,33174,(305) 613-3625,,6
ALELEA ALF INC,11968983,assisted_living,13444 SW 22 TERR,MIAMI,FL,33175,(786) 409-5736,,6
ALEMAN'S FAMILY HOME CORP,11965736,assisted_living,8735 SW 132ND CT,MIAMI,FL,33183-4170,(305) 388-6519,,6
ALF FAMILY CARE CORP,11967019,assisted_living,14381 SW 159TH TER,MIAMI,FL,33177-6869,(786) 293-7955,,6
ALF FAMILY CARE II CORP,11967763,assisted_living,13480 SW 89TH TER,MIAMI,FL,33186-1571,(305) 383-7119,,6
ALF FAMILY PALACE CORP.,11965431,assisted_living,7521 W 30TH LN,HIALEAH,FL,33018-5245,(786) 953-4512,,6
ALF FAMILY SOLUTION CORP,11967226,assisted_living,7235 SOUTH  WATER WAY  DRIVE,MIAMI,FL,33155,(305) 763-8098,,6
ALF KAYLA'S PLACE INC,11966896,assisted_living,3122 S W 151 COURT,MIAMI,FL,33185,(786) 641-5452,,6
ALF LUCIA LLC,11969440,assisted_living,5317 SW 92ND AVE,MIAMI,FL,33165,(786) 597-3618,,6
"ALF MANAGEMENT AND PROFESSIONAL SERVICES, INC",11911830,assisted_living,21 SW 75 AVENUE,MIAMI,FL,33144,(305) 264-2051,,14
ALF SUNSET PALACE LLC,11969266,assisted_living,7400 SW 82ND AVE,MIAMI,FL,33173,(305) 613-3625,,6
"ALF SWEET HOME, LLC",11969088,assisted_living,9700 SW 15TH ST,MIAMI,FL,33174,(786) 254-7128,,6
ALF VILLA FRANCISCO HOME CARE CORP,11966809,assisted_living,16832 S.W. 110 COURT,MIAMI,FL,33157,(305) 234-7787,,6
"ALFONSO'S ALF, INC",11967824,assisted_living,17010 SW 100 AVENUE,MIAMI,FL,33157,(305) 251-4089,,6
ALGARROBO ADULT DAY CARE LLC,12962726,assisted_living,208 WASHINGTON AVE,HOMESTEAD,FL,33030-6034,(786) 222-8259,,30
ALICE'S HOME CORP,11911674,assisted_living,12795 NW 10TH LN,MIAMI,FL,33182-1839,(305) 223-6443,,6
ALIS SWEET HOME INC,11969618,assisted_living,6400 SW 24TH ST,MIAMI,FL,33155,(305) 803-2763,,6
"ALL DAY ADULT DAY CARE CENTER, LLC",12962814,assisted_living,1450 NW 107TH AVE UNIT 26,SWEETWATER,FL,33172,(305) 640-8024,,85
ALMA ADULT DAY CARE CENTERS INC,12962908,assisted_living,7379 NW 36TH ST,MIAMI,FL,33166-6704,(786) 483-7679,,25
ALPHA SENIOR DAY CARE LLC,12962721,assisted_living,5352 W 16TH AVE,HIALEAH,FL,33012-2165,(786) 353-5352,,50
ALSINA CORPORATION,11969657,assisted_living,5501 SW 144 CT,MIAMI,FL,33175,(786) 803-8654,,6
ALTON ACLF HOME,11953314,assisted_living,2090 NW 115TH ST,MIAMI,FL,33167-2710,(305) 687-7142,,6
ALWAYS AT YOUR SIDE ADULT DAY CARE INC,12962383,assisted_living,13965 NW 67TH AVE # 67,MIAMI LAKES,FL,33014-2935,(305) 362-2202,www.alwaysatyoursideadc.com,40
ALWAYS LOVING FAMILY CORP,11967492,assisted_living,4394 SW 151ST PL,MIAMI,FL,33185-4396,(305) 487-9938,,6
"AM SWEET HOME ALF, CORP",11968499,assisted_living,13066 SW 187TH ST,MIAMI,FL,33177-3018,(305) 224-0860,,6
"AMANECER ADULT DAY CARE CENTER, INC",12962356,assisted_living,14550 SW 8TH ST,MIAMI,FL,33184,(305) 316-6258,,100
"AMANECER HOME ALF, LLC",11964689,assisted_living,11340 SW 47TH TER,MIAMI,FL,33165-5554,(305) 228-6858,,6
AMERICAN HOME CARE FACILITY INC,11969251,assisted_living,6960 SW 155 AVE,MIAMI,FL,33193,(786) 801-1115,,6
AMERICAN LIFE ADULT CARE CENTER INC,11966654,assisted_living,8849 NW 169TH TER,MIAMI LAKES,FL,33018-6146,(305) 827-3100,,6
AMIGOS ADULT DAYCARE INC,12962930,assisted_living,3127 SW 22ND ST,MIAMI,FL,33134,(786) 610-6471,,67
AMIGOS HOME ALF CORP,11968467,assisted_living,8360 SW 43RD TER,MIAMI,FL,33155-4219,(305) 283-2471,,6
AMIGOS OF WESTCHESTER ALF CORP,11968642,assisted_living,8571 SW 27TH ST,MIAMI,FL,33155,(305) 283-2471,,6
"AMIGOS SOCIAL CLUB, LLC",12962735,assisted_living,5824 W 20TH AVE,HIALEAH,FL,33016-2603,(786) 542-1819,,30
AMISTAD 308 LLC,11967066,assisted_living,8420 SW 2ND ST,MIAMI,FL,33144-2006,(305) 221-2797,,6
AMOR BONITO ADULT DAY CARE LLC,12962962,assisted_living,870 E 41ST ST,HIALEAH,FL,33013,(728) 207-1231,,32
"AMOR DE JESUS, CORP",11967162,assisted_living,14283 SW 177 STREET,MIAMI,FL,33177,(305) 964-5629,,6
AMOR Y ESPERANZA HOME CARE INC.,11966418,assisted_living,3224 W 14TH AVE,HIALEAH,FL,33012-4702,(305) 558-1807,,6
AMOR Y PAZ ALF INC,11968011,assisted_living,7851 NW 197TH ST,MIAMI,FL,33015,(786) 406-3777,,6
"AMOR Y VIDA ADULT DAY CARE, LLC",12962670,assisted_living,2150 W. 76TH STREET,HIALEAH,FL,33016,(786) 332-3683,,80
AMPARITO'S SENIOR CARE INC,11966539,assisted_living,15877 SW 85TH LN,MIAMI,FL,33193-5221,(305) 793-6226,,6
ANA'S ELDERLY CARE INC,11967867,assisted_living,3720 SW 132 AVENUE,MIAMI,FL,33175,(786) 873-3525,,6
"ANA'S FAMILY HOME ALF, INC.",11965277,assisted_living,11750 SW 192ND ST,MIAMI,FL,33177-3921,(786) 592-2888,,6
ANAIS ALF LLC,11968272,assisted_living,550 SW 121ST AVE,MIAMI,FL,33174,(305) 554-6967,,6
ANDALUSIA ALF INC,11966584,assisted_living,360 E 65TH ST,HIALEAH,FL,33013-1052,(305) 817-3327,,6
"ANGEL DE AMOR, CORP",11966526,assisted_living,18020 SW 134TH CT,MIAMI,FL,33177-7133,(786) 573-4487,,6
ANGELA'S CARE INC,11969468,assisted_living,1680 NW 28TH AVE,MIAMI,FL,33125,(786) 542-5239,,6
ANGELES ALF INC,11912008,assisted_living,10923 SW 5TH ST,MIAMI,FL,33174-1321,(305) 559-7130,,12
ANGELES DE AMOR LLC,11967172,assisted_living,11310 SW 145 AVENUE,MIAMI,FL,33186,(305) 982-8320,,6
ANGELES DE VIDA ALF CORP,11968891,assisted_living,11263 SW 35TH TER,MIAMI,FL,33165,(786) 312-3574,,6
"ANGELES RESIDENTIAL, INC",11963963,assisted_living,6341 PALM AVE,HIALEAH,FL,33012-2684,(305) 825-0262,,6
"ANGELES SENIOR CARE, INC",11967125,assisted_living,13751 SW 17TH TER,MIAMI,FL,33175-1081,(305) 480-5664,,6
ANGELICA HOME CORP,11970149,assisted_living,10910 SW 52ND DR,MIAMI,FL,33165,(786) 318-8953,,6
ANGELINA ALF LLC,11969032,assisted_living,4680 SW 154TH PLACE,MIAMI,FL,33185,(786) 527-4341,,6
ANGELS ADULT DAY CARE II,12962571,assisted_living,8051 W 24TH AVE,HIALEAH,FL,33016-5596,(786) 343-7772,,48
ANGELS ADULT DAY CARE INC,12962295,assisted_living,2350 W 84TH ST,HIALEAH,FL,33016-1857,(786) 343-7772,,18
"ANGELS FOREVER, INC",11966115,assisted_living,7201 SW 142ND AVE,MIAMI,FL,33183-3157,(786) 615-3530,,6
ANGELS HOME INC (THE),11965085,assisted_living,9564 SW 58TH ST,MIAMI,FL,33173-1508,(305) 596-6917,,6
ANGELS RETIREMENT HOME CORP (THE),11965010,assisted_living,14714 SW 177TH TERR,MIAMI,FL,33187,(786) 250-3282,,6
ANI ALF CARE CORP.,11966279,assisted_living,5300 SW 104TH AVE,MIAMI,FL,33165-7027,(786) 502-3342,,6
ANJOLE ALF LLC,11968583,assisted_living,646 NW 129TH PL,MIAMI,FL,33182-1173,(786) 558-7008,,6
AÑOS DORADOS ADULT DAY CARE,12962246,assisted_living,9815 SW 40TH ST,MIAMI,FL,33165-3911,(786) 797-5603,,35
ANOS DORADOS ADULT DAY CARE ACTIVITY AND RECREATION CENTER INC,12962471,assisted_living,7751 W 28TH AVE UNIT 11,HIALEAH,FL,33016-5113,(305) 608-5167,,25
"APOSTOLADO HOME #3, INC",11910988,assisted_living,13510 SW 79TH ST,MIAMI,FL,33183-4105,(305) 200-5589,,6
APREA HOME HEALTH INC,11969500,assisted_living,840 SW 5TH ST,FLORIDA CITY,FL,33034-4611,(786) 684-2736,,8
ARENAS BLANCAS CORP,11969248,assisted_living,4380 NW 175TH ST,MIAMI GARDENS,FL,33055,(305) 305-3491,,6
"ARMERO TORRES ALF, INC",11966998,assisted_living,3011 NW 52ND ST,MIAMI,FL,33142-3450,(786) 717-6643,,6
ARNAIS ASSISTED LIVING INC,11969937,assisted_living,2828 NW 22ND CT,MIAMI,FL,33142,(786) 304-0346,,8
ARP ADULT DAY CARE CORP,12962715,assisted_living,1400 NE 8TH ST UNIT 1414,HOMESTEAD,FL,33033-4505,(786) 339-8253,,30
ARVIS SENIOR CARE CORPORATION,11968160,assisted_living,43 NW 136TH PL,MIAMI,FL,33182-1937,(786) 543-3467,,6
"ASSISTED LIVING OF WESTCHESTER, LLC",11969567,assisted_living,10420 SW 26TH TERR,MIAMI,FL,33165,(305) 742-8951,,10
ASSISTED LIVING RETIREMENT HOME II,11953440,assisted_living,2787-2789 S.W 33 AVENUE,MIAMI,FL,33133,(305) 218-8705,,14
ASSISTED LIVING RETIREMENT HOMES I,11942728,assisted_living,132 NW 17TH CT,MIAMI,FL,33125-4557,(305) 642-8495,,14
ASSISTED LIVING RETIREMENT HOMES III,11953668,assisted_living,2756 SW 25TH TER,MIAMI,FL,33133-2108,(305) 567-9589,,14
AURORA 25 ALF CORP,11969559,assisted_living,8331 S W 27 ST,MIAMI,FL,33155,(786) 238-5244,,6
AVE FENIX ALF LLC,11970291,assisted_living,10120 CARIBBEAN BLVD,CUTLER BAY,FL,33189,(786) 250-4277,,6
AVENTURA REHAB AND NURSING CENTER,111316,snf,1800 N E 168TH STREET,NORTH MIAMI BEACH,FL,33162,(305) 917-1800,,86
"AZUCAR ADULT DAY CARE, LLC",12962328,assisted_living,9254 - 9256 SW 40 ST,MIAMI,FL,33165,(305) 266-8622,,25
AZURE SHORES REHAB,111359,snf,800 NW 95TH STREET,MIAMI,FL,33150,(305) 836-1550,azurerehab.com,120
BALBINA HOME CARE INC,11966388,assisted_living,10115 S.W. 77 DRIVE,MIAMI,FL,33173,(305) 271-3295,,6
BANYAN COMMUNITY HEALTH CENTER,32960507,assisted_living,140 NW 59TH ST,MIAMI,FL,33127,(305) 398-6132,www.banyanhealth.org,30
BAY OAKS HISTORIC RETIREMENT RESIDENCE INC,11910870,assisted_living,435 NE 34TH ST,MIAMI,FL,33137-4012,(305) 573-4337,www.BayOaksMiami.com,32
BELLA ALF LLC,11969208,assisted_living,17783 SW 145 AVE,MIAMI,FL,33177,(786) 478-6992,,6
BELLA LUNA RETIREMENT HOME II INC,11965711,assisted_living,11511 SW 128TH ST,MIAMI,FL,33176-4484,(786) 768-3132,,6
BELLAGIO PALMS ALF II INC.,11967937,assisted_living,21 NW 133RD PL,MIAMI,FL,33182-1642,(305) 988-0659,,6
BELMONT VILLAGE CORAL GABLES,11970300,assisted_living,4111 SALZEDO ST,CORAL GABLES,FL,33146,(305) 416-7171,,232
BERMUDEZ SENIOR CARE INC,11967037,assisted_living,5301 SW 162ND PL,MIAMI,FL,33185-5045,(786) 534-8997,,6
BEST SWEET HOME ALF INC,11968228,assisted_living,8365 SW 147TH CT,MIAMI,FL,33193-1518,(305) 386-5838,,6
BETHEL ALF LLC,11969772,assisted_living,15302 SW 142 TERR,MIAMI,FL,33196,(305) 964-5143,,6
BETTER LIFE CORP,11953536,assisted_living,5750 NW 192ND ST,MIAMI,FL,33015-5049,(305) 620-6978,,6
BETTER WAY OF MIAMI,32960508,assisted_living,800 NW 28TH ST,MIAMI,FL,33127,(305) 634-3409,,12
BEYOND OUR DREAMS ALF CORP,11969121,assisted_living,13434 SW 257 TERR,MIAMI,FL,33032,(305) 244-0661,,6
"BINGO SENIOR ACTIVITY CENTER, CORP",12962824,assisted_living,1 SW 107 AVE UNIT 14,MIAMI,FL,33174,(305) 821-1613,,32
BIRD LAKES FACILITY CARE INC,11963994,assisted_living,14279 SW 52ND ST,MIAMI,FL,33175-5830,(305) 553-0192,,6
BISCAYNE HEALTH AND REHABILITATION CENTER,111303,snf,12505 NE 16TH AVE,NORTH MIAMI,FL,33161-6019,(305) 891-1710,https://biscaynerehab.com/,98
BLANCA AZUZENA HOME CARE INC,11967412,assisted_living,12414 SW 252 TERRACE,HOMESTEAD,FL,33032,(305) 257-4741,,6
BLANCO HOME HEALTH CARE CORPORATION,11964027,assisted_living,604-606 NW 25 AVENUE,MIAMI,FL,33125,(305) 649-9299,,14
BLESSED HOME ALF LLC,11970067,assisted_living,12365 SW 42 ST,MIAMI,FL,33175,(305) 763-4259,,6
BLESSING ALF LLC,11968240,assisted_living,1051 NE 154TH TER,N MIAMI BEACH,FL,33162-5838,(305) 949-6534,,6
"BLESSING TIME ALF, INC",11969402,assisted_living,11461 SW 214 ST,MIAMI,FL,33189,(786) 728-3122,,6
BLUE POINT HOME CARE INC,11964818,assisted_living,21910 SW 97TH CT,CUTLER BAY,FL,33190-1512,(305) 971-5826,,6
BLUE SKY GROUP HOME INC,11966733,assisted_living,11000 SW 142 PLACE,MIAMI,FL,33186,(786) 316-3419,,6
BLUE STAR ADULT DAY CARE CENTER INC,12962511,assisted_living,1380 N KROME AVE,FLORIDA CITY,FL,33034-2406,(786) 554-3613,,40
"BMA ASSISTED LIVING FACILITY, CORP",11969915,assisted_living,12381 SW 144 TERR,MIAMI,FL,33186,(786) 701-9860,,6
BOSAN RESIDENCE CORP,11942957,assisted_living,1754 NW 6TH ST,MIAMI,FL,33125-4506,(305) 649-3492,,14
"BOSCH ALF, INC",11965853,assisted_living,3060 NW 19 TERRACE,MIAMI,FL,33125,(305) 637-8109,,6
BRIGHT YEARS LLC,11966644,assisted_living,7849 NW 200TH TER,HIALEAH,FL,33015-6600,(305) 829-6701,,6
BRITO'S HOME 3 LLC,11969554,assisted_living,19059 NW 77TH PL,MIAMI GARDENS,FL,33015,(786) 565-9090,,6
BRITO'S HOME CORPORATION,11967979,assisted_living,7361 PINE VALLEY DR,HIALEAH,FL,33015-2228,(305) 705-4538,,6
BRITOS HOME II CORPORATION,11969455,assisted_living,8603 NW 192 LN,MIAMI GARDENS,FL,33015,(305) 816-6558,,6
BROOKWOOD GARDENS REHABILITATION AND NURSING CENTER,111342,snf,1990 S CANAL DRIVE,HOMESTEAD,FL,33035,(305) 246-1200,brookwoodhc.com,180
"BRYAN FAMILY HOME, INC",11953661,assisted_living,14871 SW 70TH ST,MIAMI,FL,33193-1026,(305) 408-7260,,6
BUENA VIDA ADULT DAY CARE INC,12962732,assisted_living,815 E 41ST ST,HIALEAH,FL,33013-2409,(786) 355-6464,,50
"BUENA VIDA WELLNESS CENTER, CORP",12962648,assisted_living,12769 SW 42ND ST STE 28-32,MIAMI,FL,33175-3429,(305) 576-9999,,125
BUENA VISTA ASSISTED LIVING,11966111,assisted_living,14532 SW 38TH LN,MIAMI,FL,33175-7829,(305) 220-2740,,6
BUENA VISTA HEALTH CARE CORP,11968484,assisted_living,4230 NW 196TH ST,MIAMI GARDENS,FL,33055-1813,(786) 838-5937,www.buenavistaliving.com,6
"BUENA VISTA HEALTH CARE II, CORP.",11966265,assisted_living,7968 W 14TH COURT,HIALEAH,FL,33014,(786) 838-5937,www.buenavistaliving.com,6
"CACHITA ADULT CONGREGATE LIVING FACILITY, INC.",11932595,assisted_living,4753 NW 1ST ST,MIAMI,FL,33126-5269,(305) 829-4321,,8
CADC CORP.,12961948,assisted_living,7944 SW 8TH ST,MIAMI,FL,33144-4209,(305) 269-6845,https://www.cadccorp.com,67
CADIZ ALF LLC,11969845,assisted_living,6425 SW 107 AVE,MIAMI,FL,33173,(305) 972-0375,,6
CALUSA ADULT CARE I,11942771,assisted_living,13871 SW 112TH ST,MIAMI,FL,33186-3266,(786) 493-6220,,13
CALVINELLE ADULT HOME ALF #2,11967577,assisted_living,1786 NW 47TH TER,MIAMI,FL,33142-4071,(305) 308-2728,,12
CALVINELLE SOUTH ALF INC,11968250,assisted_living,1750 NW 41 ST,MIAMI,FL,33142,(954) 551-6363,,10
CALVINELLE WEST ALF INC,11969056,assisted_living,2045 NW 26 ST,MIAMI,FL,33142,(305) 308-2728,,14
"CAMACHO ALF, INC",11966863,assisted_living,1631 SW 14TH ST,MIAMI,FL,33145-1537,(305) 857-0146,,6
CAMINO DE ESPERANZA INC,11965575,assisted_living,5903 SW 147TH PL,MIAMI,FL,33193-2454,(305) 846-9527,,6
"CAMPO DE ESTRELLAS ADULT DAY CARE, INC.",12962384,assisted_living,10208 NW 80TH AVE,HIALEAH GDNS,FL,33016-2308,(786) 703-3147,,30
CANITAS ADULT DAY CARE CENTER INC,12962575,assisted_living,1738 W 49TH ST STE 13-15,HIALEAH,FL,33012-3456,(305) 557-6545,,82
CANITAS DE ORO ADULT DAYCARE CORP,12962981,assisted_living,10346 10348 W FLAGLER ST,MIAMI,FL,33174,(305) 904-1580,,26
CANITAS II ADULT DAY CARE INC,12962798,assisted_living,"1290 W 49TH ST, STE 2",HIALEAH,FL,33012,(305) 364-5549,,100
"CARE AND LOVE RETIREMENT HOME, LLC",11910890,assisted_living,642 E 21ST ST,HIALEAH,FL,33013-4020,(305) 504-4893,,20
CARE ANGELS ADULT CENTER INC,12962250,assisted_living,2500 SW 107TH AVE,MIAMI,FL,33165-2425,(305) 553-4545,,31
CARICIAS ADULT DAYCARE CORP,12962704,assisted_living,5989 W 16TH AVE,HIALEAH,FL,33012-6813,(305) 200-9857,,26
CARING FOR YOU 1 ALF INC,11965742,assisted_living,5210 SW 5TH TER,CORAL GABLES,FL,33134-1124,(786) 327-8141,,6
CARING HANDS ASSISTED LIVING II,11967685,assisted_living,13025 NW 2ND AVE,NORTH MIAMI,FL,33168-4613,(305) 926-9421,,6
"CARING HEARTS ASSISTED LIVING, INC",11965068,assisted_living,8601 SW 36 STREET,MIAMI,FL,33155,(305) 972-0375,,6
CARITAS ALEGRES ADULT DAY CARE INC,12962286,assisted_living,2401 NW 7TH ST # 2407,MIAMI,FL,33125-3134,(786) 725-7837,,25
CAROLINA'S CARE CENTER CORP,11942742,assisted_living,9024 NW 148TH ST,MIAMI LAKES,FL,33018-7313,(305) 827-3100,,8
CAROLINA'S CARE CENTER CORP #III,11966576,assisted_living,8100 W 12TH AVE,HIALEAH,FL,33014-3524,(305) 827-3100,,6
CARY & NICO TU CASITA FELIZ ALF INC,11968843,assisted_living,6790 SW 16 TERR,MIAMI,FL,33155,(305) 962-4822,,6
"CARY CRIST HOME CARE ALF, INC",11965409,assisted_living,1706 SW 136 PLACE,MIAMI,FL,33175,(786) 963-0042,,6
CASA AMOR 2 ALF LLC,11969914,assisted_living,2461 W 72ND PL,HIALEAH,FL,33016,(786) 474-8814,,6
CASA DE CAMPO,12962074,assisted_living,15628 SW 72ND ST,MIAMI,FL,33193-1921,(305) 408-0077,,46
CASA DE CAMPO ALF LLC,11969689,assisted_living,4173 NE 20TH ST,HOMESTEAD,FL,33033,(786) 601-9299,,6
"CASA DE PAZ ALF, INC",11966845,assisted_living,9360 SW 24TH ST,MIAMI,FL,33165-8114,(305) 400-2102,,6
CASA DEL SOL ADULT DAY CARE II LLC,12962682,assisted_living,8655 SW 24TH ST STE C,MIAMI,FL,33155-2337,(786) 542-5529,,60
CASA DEL SOL ADULT DAY CARE LLC,12962531,assisted_living,14740 SW 26TH ST STE 101-103,MIAMI,FL,33185-5948,(305) 456-6948,,73
"CASA MARISA II ALF, INC",11966182,assisted_living,2930 SW 114TH AVE,MIAMI,FL,33165-2112,(786) 464-9975,,6
CASA SOL CORP,11966311,assisted_living,441 E 35TH ST,HIALEAH,FL,33013-3029,(305) 640-8668,,6
CATALEYA HOME CARE INC,11965105,assisted_living,8231 SW 33RD TER,MIAMI,FL,33155-3317,(305) 225-3201,,6
